source,config_id,run_dir,status,sampler_mode,composer_type,condition_mode,prompt_cache_path,gate_state,learning_rate,lambda_source,residual_scale,edit_scale,gate_max,dropout,batch_size,temperature,best_val_official_like@10,best_val_exact_R@10,best_val_attr_success@10,best_epoch,best_step,val_mean_rank_B
hpsearch,seq_l004,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l004_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,,current,0.0003,0.02,0.02,1.25,1.5,0.1,256,0.03,0.802001953125,0.602294921875,0.905029296875,2,4000,52.391845703125
hpsearch,seq_l002,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l002_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,,source,0.0003,0.02,0.02,1.0,1.5,0.1,256,0.03,0.799560546875,0.602294921875,0.904296875,2,4000,51.7587890625
hpsearch,add_l009,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l009_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0003,0.02,0.02,1.0,1.5,0.1,256,0.03,0.796875,0.6015625,0.898681640625,2,4000,50.619384765625
hpsearch,seq_l010,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l010_balanced_length_b256_lr0.0003_src0.02_scale0.05_long,complete,balanced_length,sequential_gate,signed_direction,,current,0.0003,0.02,0.05,1.0,1.5,0.1,256,0.03,0.7939453125,0.57666015625,0.90576171875,8,16000,64.976806640625
hpsearch,add_l007,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l007_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0001,0.02,0.02,1.0,1.5,0.1,256,0.05,0.7822265625,0.574462890625,0.891357421875,8,16000,59.175048828125
hpsearch,seqp2_ov006,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260620_012402_long/gate_v3_sequentialgate_seqp2_ov006_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,data/celeba/embeddings/openai_clip_vit_b32/signed_attribute_prompt_embeddings_v2_photo_templates.pt,current,0.0001,0.02,0.02,1.0,1.5,0.1,256,0.05,0.78076171875,0.56884765625,0.893798828125,10,20000,56.938720703125
hpsearch,add_l001,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l001_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0003,0.02,0.02,1.0,1.5,0.1,256,0.05,0.777099609375,0.57470703125,0.8857421875,2,4000,56.966796875
hpsearch,add_l003,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l003_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0003,0.02,0.02,0.75,1.5,0.1,256,0.05,0.77587890625,0.5732421875,0.885986328125,2,4000,57.277099609375
hpsearch,seq_l008,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l008_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,,current,0.0003,0.02,0.02,1.0,1.5,0.1,256,0.05,0.775146484375,0.572998046875,0.885009765625,2,4000,58.864501953125
hpsearch,add_l005,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l005_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0003,0.02,0.02,1.0,1.0,0.1,256,0.05,0.773681640625,0.559326171875,0.896484375,8,16000,69.70751953125
