objective,attribute,threshold,score,accuracy,precision,recall,balanced_accuracy,f1,positive_rate
f1,Male,0.5999999642372131,0.9922976493835449,0.9934564828872681,0.994536817073822,0.9900685548782349,0.9930183291435242,0.9922976493835449,0.4257311224937439
f1,Mouth_Slightly_Open,0.4749999940395355,0.9012390971183777,0.9049177169799805,0.9021352529525757,0.900344729423523,0.904757559299469,0.9012390971183777,0.48185431957244873
f1,Mustache,0.925000011920929,0.6474480032920837,0.9624502658843994,0.6154537200927734,0.6829511523246765,0.8301311731338501,0.6474480032920837,0.05048573017120361
f1,Narrow_Eyes,0.7999999523162842,0.46453410387039185,0.9031056761741638,0.3970518410205841,0.5596514940261841,0.7453223466873169,0.46453410387039185,0.0750994086265564
f1,No_Beard,0.15000000596046448,0.974052369594574,0.956963837146759,0.9659904837608337,0.9822499752044678,0.9110739827156067,0.974052369594574,0.8223687410354614
f1,Oval_Face,0.5,0.5448514819145203,0.6891830563545227,0.4618845283985138,0.6641509532928467,0.6815370917320251,0.5448514819145203,0.28011274337768555
f1,Pale_Skin,0.7999999523162842,0.4634028375148773,0.9442794322967529,0.3960231840610504,0.5584112405776978,0.7600325345993042,0.4634028375148773,0.04308652505278587
f1,Pointy_Nose,0.5249999761581421,0.5806726217269897,0.7025217413902283,0.48517903685569763,0.7229682207107544,0.7086721062660217,0.5806726217269897,0.28489455580711365
f1,Receding_Hairline,0.7749999761581421,0.6030006408691406,0.9307394027709961,0.5130093097686768,0.7312806248664856,0.8387393355369568,0.6030006408691406,0.07192832231521606
f1,Rosy_Cheeks,0.824999988079071,0.5923606157302856,0.9344642162322998,0.515250563621521,0.6966126561164856,0.8242639303207397,0.5923606157302856,0.06835455447435379
f1,Sideburns,0.875,0.7588797807693481,0.9644637107849121,0.711723268032074,0.8127285838127136,0.8942021131515503,0.7588797807693481,0.06880757212638855
f1,Smiling,0.42500001192092896,0.9176024198532104,0.9191120862960815,0.9037470817565918,0.9318891763687134,0.9195247292518616,0.9176024198532104,0.48331403732299805
f1,Straight_Hair,0.5999999642372131,0.6192120313644409,0.811244785785675,0.5290647149085999,0.7463892102241516,0.7872105836868286,0.6192120313644409,0.20561735332012177
f1,Wavy_Hair,0.699999988079071,0.7519006729125977,0.857099711894989,0.7232683300971985,0.7828935384750366,0.834182620048523,0.7519006729125977,0.2765893042087555
f1,Wearing_Earrings,0.699999988079071,0.7428644299507141,0.8988775610923767,0.7211729884147644,0.7659012675285339,0.8480582237243652,0.7428644299507141,0.19071827828884125
f1,Wearing_Hat,0.949999988079071,0.8915045857429504,0.9893290400505066,0.8589743375778198,0.9265957474708557,0.9595202207565308,0.8915045857429504,0.04731464385986328
