query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method
9,"+Black_Hair, -Wavy_Hair",2572,0.0147744945567651,0.0583203732503888,0.1115863141524105,0.0147744945567651,0.0128304821150855,0.0132970451010886,Blend generic_tangent_seq
10,"-Male, -Mustache",27,0.0,0.037037037037037,0.074074074074074,0.0,0.0074074074074074,0.0074074074074074,Blend generic_tangent_seq
11,"+Chubby, -Young",584,0.0017123287671232,0.0136986301369863,0.0410958904109589,0.0017123287671232,0.0030821917808219,0.0046232876712328,Blend generic_tangent_seq
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0,0.0126582278481012,0.0632911392405063,0.0,0.0025316455696202,0.0063291139240506,Blend generic_tangent_seq
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.0294117647058823,0.0294117647058823,0.0,0.0058823529411764,0.0029411764705882,Blend generic_tangent_seq
0,+Smiling,4786,0.0748015043877977,0.2218972001671542,0.3056832427914751,0.0748015043877977,0.0610948600083569,0.0501462599247797,Blend model_only
1,+Eyeglasses,2196,0.1243169398907103,0.3360655737704918,0.4685792349726776,0.1243169398907103,0.0957194899817844,0.0801001821493615,Blend model_only
2,-Heavy_Makeup,4087,0.0484462931245412,0.1499877660875948,0.2258380229997553,0.0484462931245412,0.0354294103254221,0.0312943479324684,Blend model_only
3,+Male,1595,0.0094043887147335,0.0275862068965517,0.0520376175548589,0.0094043887147335,0.0068965517241379,0.0072727272727272,Blend model_only
4,-Young,5355,0.0117647058823529,0.0451914098972922,0.0793650793650793,0.0117647058823529,0.0110177404295051,0.0111297852474323,Blend model_only
5,+Blond_Hair,5469,0.0391296397878954,0.1358566465533004,0.2108246480160907,0.0391296397878954,0.03503382702505,0.0316876942768325,Blend model_only
6,+Mustache,301,0.0897009966777408,0.2225913621262458,0.2990033222591362,0.0897009966777408,0.0598006644518272,0.0471760797342192,Blend model_only
7,-Young,5355,0.0117647058823529,0.0451914098972922,0.0793650793650793,0.0117647058823529,0.0110177404295051,0.0111297852474323,Blend model_only
8,"+Eyeglasses, +Smiling",612,0.1062091503267973,0.2794117647058823,0.4084967320261438,0.1062091503267973,0.0712418300653595,0.0596405228758172,Blend model_only
9,"+Black_Hair, -Wavy_Hair",2572,0.0365474339035769,0.1290824261275272,0.2157853810264385,0.0365474339035769,0.0302488335925351,0.0288491446345256,Blend model_only
10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0,Blend model_only
11,"+Chubby, -Young",584,0.0017123287671232,0.011986301369863,0.0222602739726027,0.0017123287671232,0.0023972602739726,0.0027397260273972,Blend model_only
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0886075949367088,0.3924050632911392,0.5569620253164557,0.0886075949367088,0.1063291139240506,0.0886075949367088,Blend model_only
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0294117647058823,0.0588235294117647,0.0588235294117647,0.0294117647058823,0.0117647058823529,0.0058823529411764,Blend model_only
0,+Smiling,4786,0.0779356456330965,0.2292101964061847,0.3125783535311324,0.0779356456330965,0.0631842875052226,0.0518595904722096,Blend model_plus_generic_delta_025
1,+Eyeglasses,2196,0.1329690346083788,0.3647540983606557,0.4986338797814207,0.1329690346083788,0.1057377049180318,0.0864754098360644,Blend model_plus_generic_delta_025
2,-Heavy_Makeup,4087,0.0523611450942011,0.1553706875458771,0.2312209444580376,0.0523611450942011,0.0367017372155615,0.0323709322241249,Blend model_plus_generic_delta_025
3,+Male,1595,0.0244514106583072,0.0927899686520376,0.1598746081504702,0.0244514106583072,0.02282131661442,0.024012539184953,Blend model_plus_generic_delta_025
4,-Young,5355,0.0138188608776844,0.0539682539682539,0.0933706816059757,0.0138188608776844,0.0128851540616247,0.0127731092436975,Blend model_plus_generic_delta_025
5,+Blond_Hair,5469,0.0466264399341744,0.1548729200950813,0.2336807460230389,0.0466264399341744,0.0393856280855729,0.0349972572682386,Blend model_plus_generic_delta_025
6,+Mustache,301,0.0897009966777408,0.2425249169435216,0.3222591362126246,0.0897009966777408,0.0624584717607972,0.0518272425249168,Blend model_plus_generic_delta_025
7,-Young,5355,0.0138188608776844,0.0539682539682539,0.0933706816059757,0.0138188608776844,0.0128851540616247,0.0127731092436975,Blend model_plus_generic_delta_025
8,"+Eyeglasses, +Smiling",612,0.1339869281045751,0.3349673202614379,0.477124183006536,0.1339869281045751,0.0875816993464054,0.0728758169934643,Blend model_plus_generic_delta_025
9,"+Black_Hair, -Wavy_Hair",2572,0.0419906687402799,0.1531881804043545,0.2492223950233281,0.0419906687402799,0.0363141524105756,0.0332814930015551,Blend model_plus_generic_delta_025
10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0,Blend model_plus_generic_delta_025
11,"+Chubby, -Young",584,0.0017123287671232,0.0171232876712328,0.0256849315068493,0.0017123287671232,0.0034246575342465,0.0030821917808219,Blend model_plus_generic_delta_025
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.1265822784810126,0.5189873417721519,0.6455696202531646,0.1265822784810126,0.1468354430379747,0.1189873417721518,Blend model_plus_generic_delta_025
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0294117647058823,0.0588235294117647,0.0588235294117647,0.0294117647058823,0.0117647058823529,0.0088235294117647,Blend model_plus_generic_delta_025
0,+Smiling,4786,0.0798161303802758,0.2298370246552444,0.307772670288341,0.0798161303802758,0.0636021730045958,0.0511700793982439,Blend model_plus_generic_delta_050
1,+Eyeglasses,2196,0.1429872495446266,0.3647540983606557,0.5,0.1429872495446266,0.1040983606557367,0.0883879781420753,Blend model_plus_generic_delta_050
2,-Heavy_Makeup,4087,0.0538292145828235,0.1578174700269146,0.2353804746758013,0.0538292145828235,0.037582578908735,0.0327379495962805,Blend model_plus_generic_delta_050
3,+Male,1595,0.0689655172413793,0.1987460815047022,0.290282131661442,0.0689655172413793,0.0585579937304077,0.0537931034482758,Blend model_plus_generic_delta_050
4,-Young,5355,0.0162464985994397,0.0649859943977591,0.1109243697478991,0.0162464985994397,0.0158730158730159,0.0153127917833799,Blend model_plus_generic_delta_050
