query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method,result_dir
4,-Young,5355,0.0110177404295051,0.0395891690009337,0.0698412698412698,0.0110177404295051,0.0098225957049486,0.0094304388422036,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
5,+Blond_Hair,5469,0.0382153958676174,0.1261656609983543,0.19345401353081,0.0382153958676174,0.033753885536661,0.030096909855549,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
6,+Mustache,301,0.0963455149501661,0.1827242524916943,0.2491694352159468,0.0963455149501661,0.0498338870431893,0.0392026578073089,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
7,-Young,5355,0.0110177404295051,0.0395891690009337,0.0698412698412698,0.0110177404295051,0.0098225957049486,0.0094304388422036,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
8,"+Eyeglasses, +Smiling",612,0.0490196078431372,0.1862745098039215,0.2679738562091503,0.0490196078431372,0.0437908496732025,0.0341503267973856,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
9,"+Black_Hair, -Wavy_Hair",2572,0.0381026438569206,0.1259720062208398,0.2033437013996889,0.0381026438569206,0.0295489891135304,0.0270217729393469,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
10,"-Male, -Mustache",27,0.0,0.074074074074074,0.074074074074074,0.0,0.0148148148148148,0.0111111111111111,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
11,"+Chubby, -Young",584,0.0136986301369863,0.0308219178082191,0.0496575342465753,0.0136986301369863,0.0068493150684931,0.0059931506849315,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.1139240506329113,0.2784810126582278,0.430379746835443,0.1139240506329113,0.0708860759493671,0.0645569620253164,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.0294117647058823,0.088235294117647,0.0,0.0058823529411764,0.0088235294117647,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
0,+Smiling,4786,0.0745925616381111,0.2216882574174676,0.3054743000417885,0.0745925616381111,0.0610530714584195,0.050125365649811,Learned gate v3 hybmp_l002_w050_balanced_length_b256_lr0,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long
1,+Eyeglasses,2196,0.1243169398907103,0.3360655737704918,0.4685792349726776,0.1243169398907103,0.0956284153005457,0.0801001821493615,Learned gate v3 hybmp_l002_w050_balanced_length_b256_lr0,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long
2,-Heavy_Makeup,4087,0.0484462931245412,0.149743087839491,0.226082701247859,0.0484462931245412,0.0353804746758014,0.0313188157572788,Learned gate v3 hybmp_l002_w050_balanced_length_b256_lr0,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long
3,+Male,1595,0.0094043887147335,0.0275862068965517,0.0520376175548589,0.0094043887147335,0.0068965517241379,0.0072727272727272,Learned gate v3 hybmp_l002_w050_balanced_length_b256_lr0,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long
4,-Young,5355,0.0117647058823529,0.0450046685340803,0.0793650793650793,0.0117647058823529,0.0109803921568627,0.0111111111111111,Learned gate v3 hybmp_l002_w050_balanced_length_b256_lr0,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long
5,+Blond_Hair,5469,0.0391296397878954,0.136039495337356,0.2108246480160907,0.0391296397878954,0.0350703967818612,0.0316511245200214,Learned gate v3 hybmp_l002_w050_balanced_length_b256_lr0,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/gate_model/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long
