query_id,query,metric,best_method,best_score,second_method,second_score,absolute_margin
12,"-Smiling, +Eyeglasses, +Wearing_Hat",Recall@10,Adaptive tangent sequential,0.430379746835443,Contrastive sequential,0.430379746835443,0.0
12,"-Smiling, +Eyeglasses, +Wearing_Hat",Precision@1,Adaptive tangent sequential,0.1139240506329113,Contrastive sequential,0.1139240506329113,0.0
12,"-Smiling, +Eyeglasses, +Wearing_Hat",Precision@5,Adaptive tangent sequential,0.0708860759493671,Contrastive sequential,0.0708860759493671,0.0
12,"-Smiling, +Eyeglasses, +Wearing_Hat",Precision@10,Contrastive sequential,0.0658227848101265,Adaptive tangent sequential,0.0645569620253164,0.0012658227848101056
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",Recall@1,Direct sequential,0.0588235294117647,Direct sum,0.0294117647058823,0.029411764705882398
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",Recall@5,Learned gate,0.088235294117647,Direct sum,0.0588235294117647,0.029411764705882297
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",Recall@10,Direct sum,0.088235294117647,Direct sequential,0.088235294117647,0.0
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",Precision@1,Direct sequential,0.0588235294117647,Direct sum,0.0294117647058823,0.029411764705882398
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",Precision@5,Learned gate,0.0176470588235294,Direct sum,0.0117647058823529,0.005882352941176502
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",Precision@10,Direct sequential,0.0117647058823529,Learned gate,0.0117647058823529,0.0
