query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.1012658227848101,1.6,0.5244967341423035,0.2025316455696202,0.569620253164557,0.7468354430379747,0.2025316455696202,0.1873417721518986,0.1594936708860758,A_cal_query_hardh2_balancedaccuracy
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.1470588235294117,2.0,0.2094077944755554,0.0588235294117647,0.088235294117647,0.1764705882352941,0.0588235294117647,0.0176470588235294,0.0176470588235294,A_cal_query_hardh2_balancedaccuracy
0,+Smiling,4786,8.24174676138738,1.820330398641716,0.3538621618330637,0.0831592143752611,0.2511491851232762,0.3635603844546594,0.0831592143752611,0.0653990806519002,0.0580651901379014,A_cal_query_hardh2_f1
1,+Eyeglasses,2196,9.839253187613844,1.810322920973775,0.1446957630580371,0.1944444444444444,0.4908925318761384,0.6489071038251366,0.1944444444444444,0.1595628415300527,0.1392987249544622,A_cal_query_hardh2_f1
2,-Heavy_Makeup,4087,6.17714705162711,1.7963873164281052,0.1573853675103414,0.0643503792512845,0.2114020063616344,0.313922192317103,0.0643503792512845,0.0514803034010271,0.0443846342060182,A_cal_query_hardh2_f1
3,+Male,1595,20.181818181818183,1.8152228092374247,0.3819814982979778,0.129153605015674,0.3586206896551724,0.477115987460815,0.129153605015674,0.1171159874608147,0.1077742946708456,A_cal_query_hardh2_f1
4,-Young,5355,6.3352007469654525,1.8125405120409068,0.1306604500356558,0.0683473389355742,0.2016806722689075,0.3008403361344537,0.0683473389355742,0.0544537815126042,0.0496545284780571,A_cal_query_hardh2_f1
5,+Blond_Hair,5469,14.207350521119034,1.8396382474108115,0.1289772971096799,0.0903272993234595,0.2865240446151033,0.4168952276467361,0.0903272993234595,0.0788809654415779,0.0697933808740178,A_cal_query_hardh2_f1
6,+Mustache,301,4.700996677740863,1.8086423086565595,0.0397055718181438,0.1162790697674418,0.3289036544850498,0.4717607973421927,0.1162790697674418,0.0890365448504982,0.0744186046511628,A_cal_query_hardh2_f1
7,-Young,5355,6.3352007469654525,1.8125405120409068,0.1306604500356558,0.0683473389355742,0.2016806722689075,0.3008403361344537,0.0683473389355742,0.0544537815126042,0.0496545284780571,A_cal_query_hardh2_f1
8,"+Eyeglasses, +Smiling",612,2.3006535947712417,1.827515865525892,0.2605140279698115,0.15359477124183,0.4477124183006536,0.5996732026143791,0.15359477124183,0.1356209150326802,0.1173202614379087,A_cal_query_hardh2_f1
